loda_id;loda_dia;loda_mes;loda_cidade;loda_uf;loda_latitude;loda_longitude
4009;11;5;Carutapera;MA;-1.2025999;-46.0163039
4010;11;5;Aragoiânia;GO;-16.9116654;-49.4355941
4011;11;5;São Domingos;GO;-13.3990583;-46.3177116
4012;11;5;Primavera;PE;-8.3299732;-35.3531211
4013;11;5;Barroquinha;CE;-3.020595;-41.1367247
4014;11;5;Morro Reuter;RS;-29.5224996;-51.05514
4015;11;5;Floriano;PI;-6.7639874;-43.0017266
4016;11;5;Bandeirantes;MS;-19.9160015;-54.3711141
4017;11;5;Rio de Janeiro;RJ;-22.9124971;-43.1973707
4018;11;5;Parnamirim;RN;-5.9305673;-35.2610803
4019;11;5;Venâncio Aires;RS;-29.6056382;-52.209245
4020;12;5;Caucaia;CE;-3.7256657;-38.70099
4021;12;5;Três Coroas;RS;-29.5188854;-50.7785819
4022;12;5;Manaus;AM;-3.0288918;-60.0068511
4023;12;5;Bom Princípio;RS;-29.4878412;-51.3605539
4024;12;5;Medicilândia;PA;-3.4461326;-52.8898957
4025;12;5;Jóia;RS;-28.6496964;-54.1212942
4026;12;5;São José de Ribamar;MA;-2.5512169;-44.081426
4027;12;5;Salvador;BA;-12.9192525;-38.3487748
4028;12;5;São João da Ponta;PA;-0.9183387;-47.9285457
4029;12;5;Turvo;PR;-25.0432389;-51.5400994
4030;12;5;Balneário Arroio do Silva;SC;-29.0914735;-49.5158157
4031;12;5;Jaborandi;BA;-13.6238812;-44.4654793
4032;12;5;Guaraciaba do Norte;CE;-4.159639;-40.7560132
4033;12;5;Cuiabá;MT;-15.6406935;-56.0407307
4034;12;5;Primavera do Leste;MT;-15.5541684;-54.2873176
4035;12;5;Cantagalo;PR;-25.3787711;-52.1213773
4036;12;5;Belo Horizonte;MG;-19.953948;-43.9655678
4037;12;5;São Domingos do Maranhão;MA;-5.5787345;-44.3859889
4038;12;5;Cerro Branco;RS;-29.665542;-52.9345129
4039;12;5;Santa Maria do Herval;RS;-29.4988936;-50.9870971
4040;12;5;Bela Vista de Minas;MG;-19.8280681;-43.0950613
4041;12;5;Porto Esperidião;MT;-15.854436;-58.4614588
4042;12;5;Guarulhos;SP;-23.4617368;-46.5668224
4043;14;5;Simões Filho;BA;-12.7973374;-38.3971118
4044;14;5;Augustinópolis;TO;-5.4597582;-47.8854749
4045;14;5;Minaçu;GO;-13.515687;-48.2196283
4046;14;5;Jacundá;PA;-4.4562404;-49.1189699
4047;14;5;Jardim;MS;-21.4828426;-56.1439258
4048;14;5;São José do Jacuípe;BA;-11.5031288;-40.0259035
4049;14;5;São Gabriel da Palha;ES;-19.020516;-40.5328597
4050;14;5;Bonito;BA;-11.9687781;-41.2664097
